x_uncompressed,y_uncompressed,z_uncompressed,z_decompressed,y_decompressed,z_decompressed,distance
9.576,8.42,0.105,0.104,8.419,9.575,0.00173196
9.524,8.428,0.106,0.105,8.428,9.523,0.00141383
9.441,8.407,0.106,0.105,8.406,9.44,0.00173142
9.392,8.417,0.107,0.107,8.416,9.391,0.00141411
9.349,8.432,0.107,0.107,8.431,9.348,0.00141344
9.271,8.414,0.107,0.107,8.413,9.27,0.00141344
9.198,8.402,0.108,0.108,8.402,9.197,0.000999451
9.165,8.397,0.108,0.108,8.397,9.164,0.000999451
9.115,8.404,0.108,0.108,8.404,9.114,0.000999451
9.06,8.407,0.109,0.108,8.406,9.06,0.00141382
9.016,8.419,0.109,0.108,8.418,9.015,0.00173141
8.975,8.434,0.109,0.108,8.433,8.975,0.00141382
8.909,8.425,0.109,0.108,8.424,8.909,0.0014145
8.861,8.432,0.11,0.109,8.431,8.86,0.00173142
8.801,8.428,0.11,0.109,8.428,8.8,0.00141383
8.792,8.446,0.11,0.109,8.445,8.791,0.00173142
8.757,8.466,0.11,0.109,8.465,8.756,0.00173142
8.763,8.525,0.11,0.109,8.524,8.762,0.00173142
8.807,8.621,0.109,0.108,8.621,8.806,0.00141382
8.798,8.667,0.109,0.108,8.666,8.798,0.00141382
8.782,8.706,0.108,0.108,8.706,8.781,0.000999451
8.792,8.77,0.108,0.108,8.77,8.791,0.000999451
8.842,8.847,0.107,0.107,8.846,8.841,0.00141344
8.846,8.907,0.107,0.107,8.906,8.845,0.00141344
8.897,9.015,0.106,0.105,9.015,8.897,0.001
8.917,9.091,0.106,0.105,9.09,8.916,0.00173142
8.93,9.162,0.105,0.104,9.161,8.93,0.00141382
8.94,9.23,0.105,0.104,9.229,8.939,0.00173141
8.965,9.314,0.104,0.104,9.313,8.964,0.00141344
8.996,9.376,0.104,0.104,9.376,8.996,0
9.013,9.452,0.103,0.103,9.451,9.012,0.00141344
9.061,9.562,0.102,0.101,9.562,9.06,0.00141382
9.068,9.63,0.102,0.101,9.629,9.067,0.00173141
11.033,8.358,0.012,0.012,8.357,11.032,0.00141344
10.986,8.377,0.012,0.012,8.376,10.985,0.00141344
10.937,8.394,0.012,0.012,8.393,10.937,0.000999451
11.004,8.501,0.011,0.01,8.501,11.003,0.00141383
11.055,8.595,0.009,0.008,8.595,11.055,0.000999999
11.087,8.648,0.008,0.008,8.647,11.086,0.00141344
11.077,8.697,0.008,0.008,8.696,11.076,0.00141344
11.062,8.742,0.008,0.008,8.741,11.062,0.000999451
11.009,8.756,0.008,0.008,8.755,11.008,0.00141344
10.612,8.494,0.015,0.014,8.494,10.612,0.000999999
10.631,8.564,0.014,0.014,8.563,10.63,0.00141344
10.345,8.386,0.019,0.018,8.385,10.345,0.00141383
10.274,8.356,0.02,0.019,8.355,10.273,0.00173142
10.239,8.38,0.02,0.019,8.379,10.239,0.00141383
10.185,8.39,0.021,0.02,8.39,10.185,0.001
11.063,9.175,0.004,0.004,9.174,11.062,0.00141411
10.11,8.435,0.021,0.02,8.435,10.109,0.00141383
10.013,8.408,0.022,0.021,8.407,10.012,0.00173142
9.941,8.4,0.023,0.023,8.399,9.94,0.00141344
9.903,8.395,0.024,0.024,8.395,9.902,0.000999451
9.83,8.386,0.024,0.024,8.385,9.829,0.00141344
9.767,8.386,0.025,0.025,8.385,9.766,0.00141411
9.721,8.399,0.025,0.025,8.398,9.72,0.00141344
9.656,8.395,0.026,0.026,8.395,9.655,0.000999451
9.598,8.398,0.027,0.027,8.397,9.597,0.00141344
9.547,8.407,0.027,0.027,8.406,9.546,0.00141344
9.497,8.416,0.028,0.028,8.416,9.496,0.000999451
9.46,8.409,0.028,0.028,8.409,9.459,0.000999451
9.372,8.384,0.029,0.028,8.383,9.371,0.00173142
9.309,8.38,0.03,0.029,8.379,9.308,0.00173142
9.254,8.384,0.031,0.03,8.383,9.253,0.00173142
9.173,8.363,0.032,0.032,8.362,9.173,0.000999451
9.134,8.379,0.032,0.032,8.378,9.133,0.00141344
9.081,8.383,0.032,0.032,8.383,9.081,0
9.039,8.37,0.033,0.032,8.369,9.038,0.00173142
8.989,8.377,0.033,0.032,8.376,8.989,0.00141382
